,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
933,Indiana Pacers,Brooklyn Nets,-2.1147645447273975,-0.22527132951709328,0.17836545104690504,-0.7099261047848837,-0.5739024192178857,0.6838957887804981,-1.0641911629294196,0,04/29/2021
934,Denver Nuggets,Toronto Raptors,0.08631692019295506,-1.1263566475854703,1.0701927062814254,0.1217016179631229,-0.18260531520568768,-0.47017835478658754,1.8091249769800175,1,04/29/2021
935,Minnesota Timberwolves,Golden State Warriors,-1.884586090879517,-0.7884496533098283,-0.535096353140712,-1.6429718425021593,-0.5217294720162591,2.5218657211280755,-1.702705860687075,1,04/29/2021
936,Oklahoma City Thunder,New Orleans Pelicans,-0.2805299906271036,-0.28158916189636773,-1.159375431804877,-0.5273736778401993,-1.4608425216455276,-1.111330656768307,-1.2238198373688394,0,04/29/2021
937,Philadelphia 76ers,Atlanta Hawks,1.3666845697217869,-1.1263566475854703,0.44591362761726006,0.7504933107725915,-0.44347005121382094,-2.308148287134165,0.0,1,04/30/2021
938,Los Angeles Lakers,Sacramento Kings,0.6329907480816696,-0.22527132951709325,0.35673090209380837,0.4868064718524917,-0.18260531520568768,-1.19681763036587,0.4788860233182415,0,04/30/2021
939,Chicago Bulls,Milwaukee Bucks,0.4243915242820291,-2.140077630412392,-0.7134618041876153,-0.2839704419139535,0.286951209608941,1.025843683170738,0.5853051396111841,0,04/30/2021
940,Phoenix Suns,Utah Jazz,0.812817665150326,-0.7321318209305541,-0.6242790786641635,-0.060850808981561366,-1.3304101536414592,-2.0089438795427035,-1.2770293955153107,1,04/30/2021
941,Brooklyn Nets,Portland Trail Blazers,1.7119522504936069,0.7884496533098284,0.35673090209380687,1.3792850035820599,0.31303768320975617,-2.6073526947256385,0.6385146977576494,0,04/30/2021
942,Boston Celtics,San Antonio Spurs,0.9207138153915198,0.3942248266549162,1.2485581573283286,0.42595566287093023,-0.13043236800406477,-1.025843683170744,0.5320955814647129,1,04/30/2021
